ORDER;AGE50PL;CUSTID;TSLBO;GENDER;CKBK068;CKBK082;CKBK177;CKBK211;TPAID
0;0;470818453;2;2;0;0;0;0;1
0;0;150511194;5;3;0;0;0;0;1
0;0;956747550;5;3;0;0;0;0;1
0;0;981951489;8;3;0;0;0;0;1
0;0;581849466;2;2;0;0;0;0;1
0;0;275105283;6;1;0;0;0;0;1
0;0;231823482;10;2;0;0;1;0;3
0;0;835757621;2;3;0;0;0;0;2
0;0;846533289;2;2;0;1;0;0;1
0;0;955918314;4;2;0;0;0;0;1
0;0;759502001;5;3;0;0;0;0;3
0;0;447100776;2;2;0;0;0;0;1
0;0;467560379;10;1;0;0;1;1;1
0;0;362671326;4;3;0;1;0;0;1
1;0;311790271;3;3;0;0;0;0;1
0;0;246295315;1;3;0;0;0;0;2
0;0;541895519;6;3;0;0;0;0;1
0;0;486952498;11;3;0;0;0;0;1
0;0;419397775;3;3;0;0;0;0;2
0;0;355341614;6;1;0;0;0;0;1
0;0;819110381;7;3;0;0;1;0;1
0;0;416945232;8;1;0;0;0;0;1
0;0;265449884;10;2;1;0;1;0;1
0;0;223566545;5;2;0;0;0;0;1
0;0;987355752;2;1;0;0;1;1;1
0;0;121255534;3;1;0;0;0;0;1
0;0;767741666;3;2;0;0;0;0;3
0;0;458196174;1;3;0;0;0;0;2
0;0;23116846;1;3;0;0;1;0;4
0;0;675326597;7;3;0;0;0;0;3
0;0;516315311;5;1;0;0;1;0;1
0;0;126502662;12;3;1;0;0;0;2
0;0;443069675;1;1;0;0;0;0;1
0;0;784812764;6;1;0;0;0;0;3
0;0;615538021;3;1;0;0;1;0;1
0;0;101043310;1;1;0;0;0;0;3
0;0;428512000;4;2;0;0;0;0;1
0;0;627644494;7;3;0;0;0;0;2
0;0;782511028;7;3;0;0;1;0;4
0;0;459805593;1;1;0;1;1;0;1
0;0;324686814;7;1;0;0;0;0;1
0;0;205301889;2;2;0;0;0;0;1
0;0;941452128;7;1;0;0;0;0;3
0;0;673616430;3;2;0;0;0;0;1
0;0;988022124;2;1;0;0;0;0;1
0;0;820028363;2;1;0;0;0;0;1
0;0;50248075;12;3;0;0;0;0;1
0;0;39822403;12;3;0;0;0;0;2
1;0;719963628;3;2;0;0;0;0;1
0;0;800316660;3;1;0;0;0;0;2
0;0;456629988;3;1;0;0;0;0;1
0;0;89385681;4;1;1;0;1;0;1
0;0;709644020;2;1;0;1;0;0;4
0;0;475097;8;3;0;0;0;0;1
0;0;653207637;11;2;0;0;0;0;1
0;0;847412713;9;1;0;0;0;0;1
0;0;860507206;1;3;0;0;0;0;2
0;0;786379669;1;1;0;0;1;0;1
0;0;708251973;5;1;1;0;1;0;1
0;0;747943046;7;1;1;0;0;0;1
0;0;846138763;3;1;0;0;0;0;1
0;0;254903196;6;1;1;0;1;0;1
0;0;98373000;2;3;0;0;0;0;4
1;0;322993233;10;2;0;0;1;0;3
0;0;964483485;4;3;0;1;0;0;3
0;0;445641639;3;3;0;0;0;0;1
0;0;639551651;1;2;0;0;0;0;4
0;0;298764335;3;1;0;0;0;0;1
0;0;55100982;6;3;0;0;0;0;1
0;0;876108055;1;3;0;0;0;0;1
0;0;6090751;7;3;0;0;0;0;1
0;0;473209944;2;1;0;0;0;0;1
0;0;306467270;5;2;0;0;0;0;1
0;0;21361243;5;1;0;0;0;0;3
0;0;307464855;7;1;1;0;0;0;3
0;0;322987235;4;3;0;0;0;0;2
